Jul - Jun reference period,Police Region,Police Service Area,Local Government Area,CSA Offence Division,CSA Offence Subdivision,CSA Offence Group,Offence Count,LGA ERP,Victorian ERP
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,143,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,121,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",52,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,196,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,135,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,234,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,4,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,5,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,27,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,4,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,3,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,16,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,16,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,24,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,68,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,71,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,58,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,10,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,24,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,53,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,B Property and deception offences,B10 Arson,B11 Cause damage by fire,32,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,B Property and deception offences,B10 Arson,B19 Other fire related offences,1,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,B Property and deception offences,B20 Property damage,B21 Criminal damage,655,"128,469","6,157,538"
2017,1 North West Metro,Banyule,Banyule,B Property and deception offences,B20 Property damage,B22 Graffiti,46,"128,469","6,157,538"
