Jul - Jun reference period,FDV Flag,Offence Division,Offence Subdivision,Offence Count
2017,YES,A Crimes against the person,A10 Homicide and related offences,36
2017,NO,A Crimes against the person,A10 Homicide and related offences,197
2016,YES,A Crimes against the person,A10 Homicide and related offences,48
2016,NO,A Crimes against the person,A10 Homicide and related offences,164
2015,YES,A Crimes against the person,A10 Homicide and related offences,34
2015,NO,A Crimes against the person,A10 Homicide and related offences,140
2014,YES,A Crimes against the person,A10 Homicide and related offences,30
2014,NO,A Crimes against the person,A10 Homicide and related offences,142
2013,YES,A Crimes against the person,A10 Homicide and related offences,48
2013,NO,A Crimes against the person,A10 Homicide and related offences,124
2012,YES,A Crimes against the person,A10 Homicide and related offences,31
2012,NO,A Crimes against the person,A10 Homicide and related offences,131
2011,YES,A Crimes against the person,A10 Homicide and related offences,16
2011,NO,A Crimes against the person,A10 Homicide and related offences,131
2010,YES,A Crimes against the person,A10 Homicide and related offences,13
2010,NO,A Crimes against the person,A10 Homicide and related offences,190
2009,YES,A Crimes against the person,A10 Homicide and related offences,9
2009,NO,A Crimes against the person,A10 Homicide and related offences,219
2008,YES,A Crimes against the person,A10 Homicide and related offences,11
2008,NO,A Crimes against the person,A10 Homicide and related offences,155
2017,YES,A Crimes against the person,A20 Assault and related offences,"22,439"
2017,NO,A Crimes against the person,A20 Assault and related offences,"21,011"
2016,YES,A Crimes against the person,A20 Assault and related offences,"21,944"
2016,NO,A Crimes against the person,A20 Assault and related offences,"19,771"
2015,YES,A Crimes against the person,A20 Assault and related offences,"18,821"
2015,NO,A Crimes against the person,A20 Assault and related offences,"18,809"
2014,YES,A Crimes against the person,A20 Assault and related offences,"18,184"
2014,NO,A Crimes against the person,A20 Assault and related offences,"19,445"
2013,YES,A Crimes against the person,A20 Assault and related offences,"16,888"
2013,NO,A Crimes against the person,A20 Assault and related offences,"20,159"
2012,YES,A Crimes against the person,A20 Assault and related offences,"14,081"
2012,NO,A Crimes against the person,A20 Assault and related offences,"19,358"
2011,YES,A Crimes against the person,A20 Assault and related offences,"9,749"
2011,NO,A Crimes against the person,A20 Assault and related offences,"19,776"
2010,YES,A Crimes against the person,A20 Assault and related offences,"7,548"
2010,NO,A Crimes against the person,A20 Assault and related offences,"20,431"
2009,YES,A Crimes against the person,A20 Assault and related offences,"6,851"
2009,NO,A Crimes against the person,A20 Assault and related offences,"20,591"
2008,YES,A Crimes against the person,A20 Assault and related offences,"6,443"
2008,NO,A Crimes against the person,A20 Assault and related offences,"19,560"
2017,YES,A Crimes against the person,A30 Sexual offences,"5,219"
2017,NO,A Crimes against the person,A30 Sexual offences,"8,280"
2016,YES,A Crimes against the person,A30 Sexual offences,"4,794"
2016,NO,A Crimes against the person,A30 Sexual offences,"7,873"
2015,YES,A Crimes against the person,A30 Sexual offences,"4,107"
2015,NO,A Crimes against the person,A30 Sexual offences,"7,402"
2014,YES,A Crimes against the person,A30 Sexual offences,"3,715"
2014,NO,A Crimes against the person,A30 Sexual offences,"6,796"
2013,YES,A Crimes against the person,A30 Sexual offences,"3,232"
2013,NO,A Crimes against the person,A30 Sexual offences,"6,009"
2012,YES,A Crimes against the person,A30 Sexual offences,"2,820"
2012,NO,A Crimes against the person,A30 Sexual offences,"5,577"
2011,YES,A Crimes against the person,A30 Sexual offences,"2,099"
2011,NO,A Crimes against the person,A30 Sexual offences,"5,702"
2010,YES,A Crimes against the person,A30 Sexual offences,969
2010,NO,A Crimes against the person,A30 Sexual offences,"6,108"
2009,YES,A Crimes against the person,A30 Sexual offences,547
2009,NO,A Crimes against the person,A30 Sexual offences,"6,192"
2008,YES,A Crimes against the person,A30 Sexual offences,497
