Jul - Jun reference period,Offence Subdivision,Offence Group,Location Division,Location Subdivision,Location Group,Offence Count
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,73
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,112 House,330
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,113 Bungalow,5
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,9
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,115 Houseboat,1
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,116 Ministry Of Housing,41
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,117 Farm House,4
2017,B10 Arson,B11 Cause damage by fire,1 Residential,12 Dwelling  - non-private,121 Boarding House,4
2017,B10 Arson,B11 Cause damage by fire,1 Residential,12 Dwelling  - non-private,124 Nursing Home,3
2017,B10 Arson,B11 Cause damage by fire,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,3
2017,B10 Arson,B11 Cause damage by fire,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,6
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,1310 Farm Building,3
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,132 Backyard,42
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,133 Frontyard,117
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,134 Garage,23
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,135 Shed,25
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,17
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),22
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,93
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,1
2017,B10 Arson,B11 Cause damage by fire,2 Community,21 Education,211 School,36
2017,B10 Arson,B11 Cause damage by fire,2 Community,21 Education,212 School Grounds,41
2017,B10 Arson,B11 Cause damage by fire,2 Community,21 Education,213 Other Educational,4
2017,B10 Arson,B11 Cause damage by fire,2 Community,22 Health,221 Hospital,9
2017,B10 Arson,B11 Cause damage by fire,2 Community,22 Health,222 Medical Centre,5
2017,B10 Arson,B11 Cause damage by fire,2 Community,22 Health,223 Dental,1
2017,B10 Arson,B11 Cause damage by fire,2 Community,22 Health,224 Other Health,6
2017,B10 Arson,B11 Cause damage by fire,2 Community,23 Religious,231 Church,3
2017,B10 Arson,B11 Cause damage by fire,2 Community,23 Religious,232 Other religious,2
2017,B10 Arson,B11 Cause damage by fire,2 Community,24 Public Transport,242 Train Station,5
2017,B10 Arson,B11 Cause damage by fire,2 Community,24 Public Transport,243 Railway Carpark,5
2017,B10 Arson,B11 Cause damage by fire,2 Community,24 Public Transport,244 Tram/Tram Stop,2
2017,B10 Arson,B11 Cause damage by fire,2 Community,24 Public Transport,245 Bus/Bus Stop,3
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,251 Private Car,46
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,253 Boat,1
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,254 Dock/Wharf,1
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,255 Carpark (Single Level),62
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,256 Carpark (Multi Level),5
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,257 Other Transport Type/Area,11
2017,B10 Arson,B11 Cause damage by fire,2 Community,26 Justice,261 Police Station,7
2017,B10 Arson,B11 Cause damage by fire,2 Community,26 Justice,263 Prison/Detention Centre,7
2017,B10 Arson,B11 Cause damage by fire,2 Community,26 Justice,265 Other Justice Facility,3
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,271 Parkland/Reserve,332
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,272 Rural,56
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,273 Vacant Block,26
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,274 Beach Foreshore,8
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,275 Other Open Space,43
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,276 Beach Car Park,5
2017,B10 Arson,B11 Cause damage by fire,2 Community,28 Street/footpath,281 Street/Lane/Footpath,687
2017,B10 Arson,B11 Cause damage by fire,2 Community,29 Other community location,292 Civic Centre,3
2017,B10 Arson,B11 Cause damage by fire,3 Other,31 Admin/professional,311 Business Office,13
2017,B10 Arson,B11 Cause damage by fire,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2017,B10 Arson,B11 Cause damage by fire,3 Other,32 Financial,321 Bank,2
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,331 Chemist/Pharmacy,3
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,3310 24Hr Convenience,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,3311 Restaurant/Fastfood,9
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,3312 Other Retail,30
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,332 Service Station,10
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,333 Jeweller,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,335 Supermarket,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,336 Department Store,2
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,337 Shopping Complex,19
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,338 Car Sales Yard,4
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,339 Milkbar,5
2017,B10 Arson,B11 Cause damage by fire,3 Other,34 Wholesale,341 Any Wholesale,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,35 Warehousing/storage,351 Warehousing/Storage,16
2017,B10 Arson,B11 Cause damage by fire,3 Other,36 Manufacturing,361 Factory,42
2017,B10 Arson,B11 Cause damage by fire,3 Other,36 Manufacturing,362 Any Manufacturing,5
2017,B10 Arson,B11 Cause damage by fire,3 Other,37 Agricultural,371 Farmland/Agricultural,37
2017,B10 Arson,B11 Cause damage by fire,3 Other,37 Agricultural,372 Orchard,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,37 Agricultural,373 Other Agricultural,16
2017,B10 Arson,B11 Cause damage by fire,3 Other,38 Recreational,381 Licenced Premises,3
2017,B10 Arson,B11 Cause damage by fire,3 Other,38 Recreational,383 Cinema,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,38 Recreational,384 Sport Area/Facility,30
2017,B10 Arson,B11 Cause damage by fire,3 Other,38 Recreational,386 Other Rec./Sports,24
2017,B10 Arson,B11 Cause damage by fire,3 Other,39 Other location,392 Other Location (Not Elsewhere),52
2017,B10 Arson,B11 Cause damage by fire,3 Other,39 Other location,393 Construction Site,7
2017,B10 Arson,B11 Cause damage by fire,3 Other,39 Other location,394 Veterinary Clinic,2
2017,B10 Arson,B11 Cause damage by fire,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,53
2017,B10 Arson,B12 Cause a bushfire,1 Residential,13 Grounds/surrounding land,132 Backyard,2
2017,B10 Arson,B12 Cause a bushfire,1 Residential,13 Grounds/surrounding land,133 Frontyard,1
