Jul - Jun reference period,Police Region,Local Government Area,"Rate per 100,000 population"
2017,1 North West Metro,Banyule,7517.766932
2017,1 North West Metro,Brimbank,8793.663288
2017,1 North West Metro,Darebin,10458.57004
2017,1 North West Metro,Hobsons Bay,6697.799521
2017,1 North West Metro,Hume,10656.92579
2017,1 North West Metro,Maribyrnong,9889.972208
2017,1 North West Metro,Melbourne,25412.33755
2017,1 North West Metro,Melton,7783.073177
2017,1 North West Metro,Moonee Valley,7621.535757
2017,1 North West Metro,Moreland,7956.254898
2017,1 North West Metro,Nillumbik,4348.170693
2017,1 North West Metro,Whittlesea,7646.08076
2017,1 North West Metro,Wyndham,6406.751922
2017,1 North West Metro,Yarra,14146.35686
2017,2 Eastern,Alpine,3224.168571
2017,2 Eastern,Bass Coast,7890.513552
2017,2 Eastern,Baw Baw,7955.61754
2017,2 Eastern,Benalla,9826.459319
2017,2 Eastern,Boroondara,4666.651779
2017,2 Eastern,East Gippsland,8693.425944
2017,2 Eastern,Greater Shepparton,12963.96998
2017,2 Eastern,Indigo,2967.550481
2017,2 Eastern,Knox,7671.917505
2017,2 Eastern,Latrobe,18883.87595
2017,2 Eastern,Manningham,4227.135005
2017,2 Eastern,Mansfield,7605.062082
2017,2 Eastern,Maroondah,7785.835062
2017,2 Eastern,Mitchell,11260.6649
2017,2 Eastern,Moira,6823.804288
2017,2 Eastern,Monash,6106.225598
2017,2 Eastern,Murrindindi,4859.205776
2017,2 Eastern,South Gippsland,6057.233133
2017,2 Eastern,Strathbogie,6388.972734
2017,2 Eastern,Towong,3630.651073
2017,2 Eastern,Wangaratta,9169.287697
2017,2 Eastern,Wellington,10476.73559
2017,2 Eastern,Whitehorse,5020.733727
2017,2 Eastern,Wodonga,8142.981691
2017,2 Eastern,Yarra Ranges,5609.293224
2017,3 Southern Metro,Bayside,4991.936029
2017,3 Southern Metro,Cardinia,6622.934402
2017,3 Southern Metro,Casey,7571.456161
2017,3 Southern Metro,Frankston,11463.38107
2017,3 Southern Metro,Glen Eira,5005.217923
2017,3 Southern Metro,Greater Dandenong,12564.6697
2017,3 Southern Metro,Kingston,7142.676336
2017,3 Southern Metro,Mornington Peninsula,7376.904115
2017,3 Southern Metro,Port Phillip,12353.59176
2017,3 Southern Metro,Stonnington,9585.765276
2017,4 Western,Ararat,12330.02573
2017,4 Western,Ballarat,11406.20392
2017,4 Western,Buloke,3099.5671
2017,4 Western,Campaspe,9615.019913
2017,4 Western,Central Goldfields,9778.97917
2017,4 Western,Colac-Otway,10449.24793
2017,4 Western,Corangamite,7050.82551
2017,4 Western,Gannawarra,6749.46554
2017,4 Western,Glenelg,8801.054018
2017,4 Western,Golden Plains,3507.152746
2017,4 Western,Greater Bendigo,9377.996378
2017,4 Western,Greater Geelong,9589.72803
2017,4 Western,Hepburn,5687.680043
2017,4 Western,Hindmarsh,7703.842549
2017,4 Western,Horsham,12933.23331
2017,4 Western,Loddon,5683.861153
2017,4 Western,Macedon Ranges,5404.016615
2017,4 Western,Mildura,12611.05213
2017,4 Western,Moorabool,7661.118224
2017,4 Western,Mount Alexander,6966.096152
2017,4 Western,Moyne,4264.705882
2017,4 Western,Northern Grampians,11103.27189
2017,4 Western,Pyrenees,7924.090975
2017,4 Western,Queenscliffe,5018.278498
2017,4 Western,Southern Grampians,8583.333333
2017,4 Western,Surf Coast,4361.798279
2017,4 Western,Swan Hill,11220.68492
2017,4 Western,Warrnambool,10121.59916
2017,4 Western,West Wimmera,5302.624531
2017,4 Western,Yarriambiack,6932.356085
2016,1 North West Metro,Banyule,7850.318098
2016,1 North West Metro,Brimbank,9660.70698
2016,1 North West Metro,Darebin,10805.98842
2016,1 North West Metro,Hobsons Bay,7365.907034
2016,1 North West Metro,Hume,11244.68466
2016,1 North West Metro,Maribyrnong,10924.52742
2016,1 North West Metro,Melbourne,26568.91797
2016,1 North West Metro,Melton,8816.295324
2016,1 North West Metro,Moonee Valley,7650.592015
2016,1 North West Metro,Moreland,8646.367553
2016,1 North West Metro,Nillumbik,5486.240856
2016,1 North West Metro,Whittlesea,7578.563645
2016,1 North West Metro,Wyndham,7072.793906
2016,1 North West Metro,Yarra,15159.91238
2016,2 Eastern,Alpine,3488.759367
2016,2 Eastern,Bass Coast,9233.43887
2016,2 Eastern,Baw Baw,8607.921451
2016,2 Eastern,Benalla,11298.72062
2016,2 Eastern,Boroondara,4561.709255
2016,2 Eastern,East Gippsland,9674.015536
2016,2 Eastern,Greater Shepparton,12676.74229
2016,2 Eastern,Indigo,2992.166431
2016,2 Eastern,Knox,6796.475053
2016,2 Eastern,Latrobe,19035.20385
2016,2 Eastern,Manningham,3721.130587
2016,2 Eastern,Mansfield,6748.025844
2016,2 Eastern,Maroondah,7511.584638
2016,2 Eastern,Mitchell,10806.7496
2016,2 Eastern,Moira,5978.467823
2016,2 Eastern,Monash,6422.616357
2016,2 Eastern,Murrindindi,5316.236853
2016,2 Eastern,South Gippsland,4889.888282
2016,2 Eastern,Strathbogie,5884.715806
2016,2 Eastern,Towong,4444.444444
2016,2 Eastern,Wangaratta,9294.88345
2016,2 Eastern,Wellington,10994.65291
2016,2 Eastern,Whitehorse,4895.404715
2016,2 Eastern,Wodonga,8820.606894
2016,2 Eastern,Yarra Ranges,5807.70595
2016,3 Southern Metro,Bayside,4900.760094
2016,3 Southern Metro,Cardinia,8000.666722
2016,3 Southern Metro,Casey,7490.355871
2016,3 Southern Metro,Frankston,11702.46827
2016,3 Southern Metro,Glen Eira,4612.821305
2016,3 Southern Metro,Greater Dandenong,13280.43688
2016,3 Southern Metro,Kingston,7212.575118
2016,3 Southern Metro,Mornington Peninsula,7412.713877
2016,3 Southern Metro,Port Phillip,11885.09477
2016,3 Southern Metro,Stonnington,9711.582813
2016,4 Western,Ararat,11377.24551
2016,4 Western,Ballarat,11181.75522
2016,4 Western,Buloke,4311.661857
2016,4 Western,Campaspe,9649.598611
2016,4 Western,Central Goldfields,12484.18722
2016,4 Western,Colac-Otway,9180.053218
2016,4 Western,Corangamite,5211.312361
2016,4 Western,Gannawarra,5661.136249
2016,4 Western,Glenelg,8337.246309
2016,4 Western,Golden Plains,3910.091314
2016,4 Western,Greater Bendigo,8676.579657
2016,4 Western,Greater Geelong,9877.49795
2016,4 Western,Hepburn,5646.933475
2016,4 Western,Hindmarsh,5526.992288
2016,4 Western,Horsham,14610.37321
2016,4 Western,Loddon,6802.907694
2016,4 Western,Macedon Ranges,5479.303541
2016,4 Western,Mildura,11851.6296
2016,4 Western,Moorabool,7180.406952
2016,4 Western,Mount Alexander,6838.946856
2016,4 Western,Moyne,3605.371267
2016,4 Western,Northern Grampians,10234.5044
2016,4 Western,Pyrenees,8368.140573
2016,4 Western,Queenscliffe,5017.921147
2016,4 Western,Southern Grampians,7764.586375
2016,4 Western,Surf Coast,5137.571634
2016,4 Western,Swan Hill,11124.20804
2016,4 Western,Warrnambool,8968.25162
2016,4 Western,West Wimmera,5421.53048
2016,4 Western,Yarriambiack,7458.23389
2015,1 North West Metro,Banyule,7082.388093
2015,1 North West Metro,Brimbank,9084.997724
2015,1 North West Metro,Darebin,9539.114012
2015,1 North West Metro,Hobsons Bay,7291.072792
2015,1 North West Metro,Hume,9790.837733
2015,1 North West Metro,Maribyrnong,9452.355921
2015,1 North West Metro,Melbourne,26830.17581
2015,1 North West Metro,Melton,7652.173913
2015,1 North West Metro,Moonee Valley,7554.537321
2015,1 North West Metro,Moreland,7742.894653
2015,1 North West Metro,Nillumbik,3573.585985
2015,1 North West Metro,Whittlesea,6642.562723
2015,1 North West Metro,Wyndham,6151.507955
2015,1 North West Metro,Yarra,14263.20114
2015,2 Eastern,Alpine,3712.064209
2015,2 Eastern,Bass Coast,8116.872993
2015,2 Eastern,Baw Baw,7644.086228
2015,2 Eastern,Benalla,8016.284234
2015,2 Eastern,Boroondara,3768.042919
2015,2 Eastern,East Gippsland,9340.883352
2015,2 Eastern,Greater Shepparton,11597.49141
2015,2 Eastern,Indigo,3094.251683
2015,2 Eastern,Knox,6270.906225
2015,2 Eastern,Latrobe,17528.94601
2015,2 Eastern,Manningham,3623.795559
2015,2 Eastern,Mansfield,5239.070216
2015,2 Eastern,Maroondah,6950.706543
2015,2 Eastern,Mitchell,9382.15103
2015,2 Eastern,Moira,5118.969279
2015,2 Eastern,Monash,5009.465405
2015,2 Eastern,Murrindindi,4663.853318
2015,2 Eastern,South Gippsland,4420.622401
2015,2 Eastern,Strathbogie,5015.705745
2015,2 Eastern,Towong,2932.55132
2015,2 Eastern,Wangaratta,8984.805109
2015,2 Eastern,Wellington,9971.293682
2015,2 Eastern,Whitehorse,4534.829642
2015,2 Eastern,Wodonga,8504.300073
2015,2 Eastern,Yarra Ranges,4682.438207
2015,3 Southern Metro,Bayside,4234.386256
2015,3 Southern Metro,Cardinia,6967.722082
2015,3 Southern Metro,Casey,6643.522548
2015,3 Southern Metro,Frankston,10673.4024
2015,3 Southern Metro,Glen Eira,3955.504841
2015,3 Southern Metro,Greater Dandenong,11338.07606
2015,3 Southern Metro,Kingston,6622.148384
2015,3 Southern Metro,Mornington Peninsula,6779.911849
2015,3 Southern Metro,Port Phillip,11258.94349
2015,3 Southern Metro,Stonnington,9057.120139
2015,4 Western,Ararat,10392.6513
2015,4 Western,Ballarat,10814.8686
2015,4 Western,Buloke,3833.972329
2015,4 Western,Campaspe,8166.200776
2015,4 Western,Central Goldfields,8560.774357
2015,4 Western,Colac-Otway,6644.044458
2015,4 Western,Corangamite,4028.585884
2015,4 Western,Gannawarra,5282.005372
2015,4 Western,Glenelg,9352.742397
2015,4 Western,Golden Plains,3142.665517
2015,4 Western,Greater Bendigo,7811.5798
2015,4 Western,Greater Geelong,8354.445808
2015,4 Western,Hepburn,4978.224456
2015,4 Western,Hindmarsh,3554.032113
2015,4 Western,Horsham,14326.95229
2015,4 Western,Loddon,4596.917201
2015,4 Western,Macedon Ranges,4924.935517
2015,4 Western,Mildura,11110.27588
2015,4 Western,Moorabool,6474.934204
2015,4 Western,Mount Alexander,5586.135484
2015,4 Western,Moyne,3816.793893
2015,4 Western,Northern Grampians,9507.742884
2015,4 Western,Pyrenees,7301.818182
2015,4 Western,Queenscliffe,4998.355804
2015,4 Western,Southern Grampians,6560.171739
2015,4 Western,Surf Coast,4669.046965
2015,4 Western,Swan Hill,10867.33948
2015,4 Western,Warrnambool,8847.718298
2015,4 Western,West Wimmera,3960.143076
2015,4 Western,Yarriambiack,5539.230091
2014,1 North West Metro,Banyule,7877.179138
2014,1 North West Metro,Brimbank,9196.152542
2014,1 North West Metro,Darebin,9196.569699
2014,1 North West Metro,Hobsons Bay,7586.865383
2014,1 North West Metro,Hume,8823.919139
2014,1 North West Metro,Maribyrnong,10613.33724
2014,1 North West Metro,Melbourne,25980.82952
2014,1 North West Metro,Melton,7437.440261
2014,1 North West Metro,Moonee Valley,7094.810609
2014,1 North West Metro,Moreland,7563.16927
2014,1 North West Metro,Nillumbik,3366.79979
2014,1 North West Metro,Whittlesea,7521.287926
2014,1 North West Metro,Wyndham,6568.158481
2014,1 North West Metro,Yarra,14249.16355
2014,2 Eastern,Alpine,4559.447541
2014,2 Eastern,Bass Coast,8696.614995
2014,2 Eastern,Baw Baw,7557.936923
2014,2 Eastern,Benalla,8431.963537
2014,2 Eastern,Boroondara,4250.91712
2014,2 Eastern,East Gippsland,8434.452127
2014,2 Eastern,Greater Shepparton,10874.21394
2014,2 Eastern,Indigo,3181.018187
2014,2 Eastern,Knox,6241.024221
2014,2 Eastern,Latrobe,14409.32368
2014,2 Eastern,Manningham,3539.688568
2014,2 Eastern,Mansfield,5707.679202
2014,2 Eastern,Maroondah,6601.609929
2014,2 Eastern,Mitchell,8436.433725
2014,2 Eastern,Moira,4999.132697
2014,2 Eastern,Monash,4770.322797
2014,2 Eastern,Murrindindi,5077.636323
2014,2 Eastern,South Gippsland,4109.490624
2014,2 Eastern,Strathbogie,5237.415936
2014,2 Eastern,Towong,4538.395168
2014,2 Eastern,Wangaratta,8997.343958
2014,2 Eastern,Wellington,9721.62944
2014,2 Eastern,Whitehorse,4506.679051
2014,2 Eastern,Wodonga,7964.903985
2014,2 Eastern,Yarra Ranges,4732.864113
2014,3 Southern Metro,Bayside,4264.667614
2014,3 Southern Metro,Cardinia,6745.639635
2014,3 Southern Metro,Casey,5703.08776
2014,3 Southern Metro,Frankston,11049.74833
2014,3 Southern Metro,Glen Eira,3916.42189
2014,3 Southern Metro,Greater Dandenong,10603.0803
2014,3 Southern Metro,Kingston,6260.046787
2014,3 Southern Metro,Mornington Peninsula,6578.254168
2014,3 Southern Metro,Port Phillip,10810.68188
2014,3 Southern Metro,Stonnington,9088.592302
2014,4 Western,Ararat,8995.421492
2014,4 Western,Ballarat,9776.536313
2014,4 Western,Buloke,3205.128205
2014,4 Western,Campaspe,7403.290954
2014,4 Western,Central Goldfields,8137.044968
2014,4 Western,Colac-Otway,7896.020289
2014,4 Western,Corangamite,4026.38191
2014,4 Western,Gannawarra,5620.193256
2014,4 Western,Glenelg,8152.932059
2014,4 Western,Golden Plains,2444.249684
2014,4 Western,Greater Bendigo,7780.403733
2014,4 Western,Greater Geelong,7613.402933
2014,4 Western,Hepburn,4064.494458
2014,4 Western,Hindmarsh,3863.878057
2014,4 Western,Horsham,9984.256767
2014,4 Western,Loddon,7466.340269
2014,4 Western,Macedon Ranges,4467.361639
2014,4 Western,Mildura,10888.75476
2014,4 Western,Moorabool,5803.75918
2014,4 Western,Mount Alexander,5125.228064
2014,4 Western,Moyne,3813.663075
2014,4 Western,Northern Grampians,7733.674776
2014,4 Western,Pyrenees,6493.888971
2014,4 Western,Queenscliffe,3395.97758
2014,4 Western,Southern Grampians,6796.177543
2014,4 Western,Surf Coast,4546.732256
2014,4 Western,Swan Hill,9395.353359
2014,4 Western,Warrnambool,7902.590426
2014,4 Western,West Wimmera,4019.090681
2014,4 Western,Yarriambiack,4270.772807
2013,1 North West Metro,Banyule,6045.034178
2013,1 North West Metro,Brimbank,9672.100086
2013,1 North West Metro,Darebin,7588.816911
2013,1 North West Metro,Hobsons Bay,7734.046362
2013,1 North West Metro,Hume,8263.189805
2013,1 North West Metro,Maribyrnong,10478.15001
2013,1 North West Metro,Melbourne,29459.29683
2013,1 North West Metro,Melton,6818.366915
2013,1 North West Metro,Moonee Valley,6998.669322
2013,1 North West Metro,Moreland,7348.608531
2013,1 North West Metro,Nillumbik,3072.135334
2013,1 North West Metro,Whittlesea,6661.827116
2013,1 North West Metro,Wyndham,6389.40459
2013,1 North West Metro,Yarra,12722.13441
2013,2 Eastern,Alpine,3466.334165
2013,2 Eastern,Bass Coast,7209.039548
2013,2 Eastern,Baw Baw,6875.858098
2013,2 Eastern,Benalla,7446.886179
2013,2 Eastern,Boroondara,3979.880504
2013,2 Eastern,East Gippsland,8799.797123
2013,2 Eastern,Greater Shepparton,9663.992856
2013,2 Eastern,Indigo,2838.72648
2013,2 Eastern,Knox,5674.592918
2013,2 Eastern,Latrobe,13919.19548
2013,2 Eastern,Manningham,3005.732099
2013,2 Eastern,Mansfield,3913.415678
2013,2 Eastern,Maroondah,5775.309228
2013,2 Eastern,Mitchell,6713.99866
2013,2 Eastern,Moira,4541.804853
2013,2 Eastern,Monash,4658.804169
2013,2 Eastern,Murrindindi,4689.470951
2013,2 Eastern,South Gippsland,4922.029037
2013,2 Eastern,Strathbogie,5339.105339
2013,2 Eastern,Towong,4639.700884
2013,2 Eastern,Wangaratta,8513.379219
2013,2 Eastern,Wellington,8951.551855
2013,2 Eastern,Whitehorse,4492.448626
2013,2 Eastern,Wodonga,7840.351677
2013,2 Eastern,Yarra Ranges,4209.786465
2013,3 Southern Metro,Bayside,4240.358197
2013,3 Southern Metro,Cardinia,6337.223148
2013,3 Southern Metro,Casey,5628.811364
2013,3 Southern Metro,Frankston,10201.23665
2013,3 Southern Metro,Glen Eira,4105.277304
2013,3 Southern Metro,Greater Dandenong,10584.12586
2013,3 Southern Metro,Kingston,5977.575842
2013,3 Southern Metro,Mornington Peninsula,5964.261765
2013,3 Southern Metro,Port Phillip,11149.8496
2013,3 Southern Metro,Stonnington,8709.317553
2013,4 Western,Ararat,11878.00963
2013,4 Western,Ballarat,9795.069494
2013,4 Western,Buloke,4505.954297
2013,4 Western,Campaspe,7035.611686
2013,4 Western,Central Goldfields,8518.22504
2013,4 Western,Colac-Otway,6590.535179
2013,4 Western,Corangamite,3948.348647
2013,4 Western,Gannawarra,5440.791388
2013,4 Western,Glenelg,7000
2013,4 Western,Golden Plains,2478.764095
2013,4 Western,Greater Bendigo,7795.898196
2013,4 Western,Greater Geelong,7455.827195
2013,4 Western,Hepburn,4389.815628
2013,4 Western,Hindmarsh,4865.624451
2013,4 Western,Horsham,13485.20289
2013,4 Western,Loddon,5527.841445
2013,4 Western,Macedon Ranges,3929.090249
2013,4 Western,Mildura,10455.4177
2013,4 Western,Moorabool,5875.367004
2013,4 Western,Mount Alexander,5193.720775
2013,4 Western,Moyne,3393.679043
2013,4 Western,Northern Grampians,16764.33121
2013,4 Western,Pyrenees,5400.207131
2013,4 Western,Queenscliffe,3045.18664
2013,4 Western,Southern Grampians,6347.238579
2013,4 Western,Surf Coast,4164.602647
2013,4 Western,Swan Hill,8441.651878
2013,4 Western,Warrnambool,6820.09627
2013,4 Western,West Wimmera,4260.528893
2013,4 Western,Yarriambiack,5298.390543
2012,1 North West Metro,Banyule,5889.967638
2012,1 North West Metro,Brimbank,8976.175944
2012,1 North West Metro,Darebin,8183.710013
2012,1 North West Metro,Hobsons Bay,7279.524214
2012,1 North West Metro,Hume,8324.814361
2012,1 North West Metro,Maribyrnong,11899.92975
2012,1 North West Metro,Melbourne,30036.61614
2012,1 North West Metro,Melton,7007.066448
2012,1 North West Metro,Moonee Valley,6875.864438
2012,1 North West Metro,Moreland,7441.735767
2012,1 North West Metro,Nillumbik,2932.224188
2012,1 North West Metro,Whittlesea,6870.053838
2012,1 North West Metro,Wyndham,6983.713428
2012,1 North West Metro,Yarra,13514.51468
2012,2 Eastern,Alpine,3410.686266
2012,2 Eastern,Bass Coast,6744.8393
2012,2 Eastern,Baw Baw,5700.288965
2012,2 Eastern,Benalla,6787.560993
2012,2 Eastern,Boroondara,3821.130489
2012,2 Eastern,East Gippsland,6791.010195
2012,2 Eastern,Greater Shepparton,10057.87204
2012,2 Eastern,Indigo,3245.950693
2012,2 Eastern,Knox,5439.796097
2012,2 Eastern,Latrobe,12294.42845
2012,2 Eastern,Manningham,3522.847671
2012,2 Eastern,Mansfield,4334.326875
2012,2 Eastern,Maroondah,6071.111604
2012,2 Eastern,Mitchell,6615.388872
2012,2 Eastern,Moira,5089.538172
2012,2 Eastern,Monash,4535.071778
2012,2 Eastern,Murrindindi,4462.489756
2012,2 Eastern,South Gippsland,3927.07883
2012,2 Eastern,Strathbogie,4376.163873
2012,2 Eastern,Towong,4788.494078
2012,2 Eastern,Wangaratta,8107.710958
2012,2 Eastern,Wellington,7445.500544
2012,2 Eastern,Whitehorse,3950.507232
2012,2 Eastern,Wodonga,8464.566929
2012,2 Eastern,Yarra Ranges,4252.35367
2012,3 Southern Metro,Bayside,4480.78192
2012,3 Southern Metro,Cardinia,5818.825759
2012,3 Southern Metro,Casey,5378.119863
2012,3 Southern Metro,Frankston,9363.662583
2012,3 Southern Metro,Glen Eira,4079.228968
2012,3 Southern Metro,Greater Dandenong,9971.450746
2012,3 Southern Metro,Kingston,5993.440612
2012,3 Southern Metro,Mornington Peninsula,5994.828615
2012,3 Southern Metro,Port Phillip,11266.60956
2012,3 Southern Metro,Stonnington,8633.520116
2012,4 Western,Ararat,9757.388619
2012,4 Western,Ballarat,10102.6461
2012,4 Western,Buloke,4673.485445
2012,4 Western,Campaspe,6797.954933
2012,4 Western,Central Goldfields,6867.498609
2012,4 Western,Colac-Otway,6837.771464
2012,4 Western,Corangamite,4900.225789
2012,4 Western,Gannawarra,4635.697764
2012,4 Western,Glenelg,6529.000911
2012,4 Western,Golden Plains,2239.342578
2012,4 Western,Greater Bendigo,6528.64244
2012,4 Western,Greater Geelong,6946.017192
2012,4 Western,Hepburn,4691.743618
2012,4 Western,Hindmarsh,4376.405466
2012,4 Western,Horsham,10228.71988
2012,4 Western,Loddon,5488.94218
2012,4 Western,Macedon Ranges,3435.439024
2012,4 Western,Mildura,10102.11315
2012,4 Western,Moorabool,4913.619791
2012,4 Western,Mount Alexander,5012.29325
2012,4 Western,Moyne,3876.494515
2012,4 Western,Northern Grampians,7735.454165
2012,4 Western,Pyrenees,3765.194189
2012,4 Western,Queenscliffe,10243.11183
2012,4 Western,Southern Grampians,5967.505497
2012,4 Western,Surf Coast,4793.623062
2012,4 Western,Swan Hill,8634.844869
2012,4 Western,Warrnambool,7077.929948
2012,4 Western,West Wimmera,3194.278903
2012,4 Western,Yarriambiack,5547.733033
2011,1 North West Metro,Banyule,5347.080491
2011,1 North West Metro,Brimbank,8652.40005
2011,1 North West Metro,Darebin,7715.716864
2011,1 North West Metro,Hobsons Bay,6252.073917
2011,1 North West Metro,Hume,7500.143439
2011,1 North West Metro,Maribyrnong,11129.14815
2011,1 North West Metro,Melbourne,29547.08699
2011,1 North West Metro,Melton,5837.024937
2011,1 North West Metro,Moonee Valley,6370.119451
2011,1 North West Metro,Moreland,6745.674146
2011,1 North West Metro,Nillumbik,3011.990561
2011,1 North West Metro,Whittlesea,6023.00995
2011,1 North West Metro,Wyndham,6351.567796
2011,1 North West Metro,Yarra,13747.25929
2011,2 Eastern,Alpine,3007.954922
2011,2 Eastern,Bass Coast,6717.824893
2011,2 Eastern,Baw Baw,4489.617184
2011,2 Eastern,Benalla,6542.191345
2011,2 Eastern,Boroondara,3470.567813
2011,2 Eastern,East Gippsland,7418.390697
2011,2 Eastern,Greater Shepparton,9134.490801
2011,2 Eastern,Indigo,2924.854737
2011,2 Eastern,Knox,5058.043654
2011,2 Eastern,Latrobe,11062.77443
2011,2 Eastern,Manningham,3036.40257
2011,2 Eastern,Mansfield,4520.271972
2011,2 Eastern,Maroondah,5575.69207
2011,2 Eastern,Mitchell,8107.10725
2011,2 Eastern,Moira,4932.056608
2011,2 Eastern,Monash,4442.188954
2011,2 Eastern,Murrindindi,4356.955381
2011,2 Eastern,South Gippsland,3743.820878
2011,2 Eastern,Strathbogie,4563.450719
2011,2 Eastern,Towong,3616.086516
2011,2 Eastern,Wangaratta,7651.036308
2011,2 Eastern,Wellington,6482.36189
2011,2 Eastern,Whitehorse,3988.878874
2011,2 Eastern,Wodonga,7908.396947
2011,2 Eastern,Yarra Ranges,4160.482468
2011,3 Southern Metro,Bayside,3428.042323
2011,3 Southern Metro,Cardinia,5364.560668
2011,3 Southern Metro,Casey,5369.677207
2011,3 Southern Metro,Frankston,9071.729958
2011,3 Southern Metro,Glen Eira,3824.953336
2011,3 Southern Metro,Greater Dandenong,9481.10321
2011,3 Southern Metro,Kingston,6094.238861
2011,3 Southern Metro,Mornington Peninsula,5606.581319
2011,3 Southern Metro,Port Phillip,10159.75163
2011,3 Southern Metro,Stonnington,8308.296157
2011,4 Western,Ararat,8140.56154
2011,4 Western,Ballarat,9291.379944
2011,4 Western,Buloke,5398.298531
2011,4 Western,Campaspe,7477.954145
2011,4 Western,Central Goldfields,7687.415534
2011,4 Western,Colac-Otway,6283.955959
2011,4 Western,Corangamite,4060.268668
2011,4 Western,Gannawarra,6371.376638
2011,4 Western,Glenelg,7794.236195
2011,4 Western,Golden Plains,2373.668108
2011,4 Western,Greater Bendigo,5564.978675
2011,4 Western,Greater Geelong,6803.282106
2011,4 Western,Hepburn,4839.701962
2011,4 Western,Hindmarsh,2988.387978
2011,4 Western,Horsham,9353.070737
2011,4 Western,Loddon,5221.309303
2011,4 Western,Macedon Ranges,3747.405732
2011,4 Western,Mildura,10974.10366
2011,4 Western,Moorabool,4509.940705
2011,4 Western,Mount Alexander,4923.903312
2011,4 Western,Moyne,3303.02468
2011,4 Western,Northern Grampians,8602.953376
2011,4 Western,Pyrenees,3876.313064
2011,4 Western,Queenscliffe,4279.647174
2011,4 Western,Southern Grampians,5968.2578
2011,4 Western,Surf Coast,4098.852471
2011,4 Western,Swan Hill,9067.816918
2011,4 Western,Warrnambool,9162.151407
2011,4 Western,West Wimmera,2425.938885
2011,4 Western,Yarriambiack,4079.075595
2010,1 North West Metro,Banyule,5727.317153
2010,1 North West Metro,Brimbank,7767.278117
2010,1 North West Metro,Darebin,7581.46424
2010,1 North West Metro,Hobsons Bay,6646.25195
2010,1 North West Metro,Hume,7441.855024
2010,1 North West Metro,Maribyrnong,11167.86437
2010,1 North West Metro,Melbourne,32416.54118
2010,1 North West Metro,Melton,5652.890087
2010,1 North West Metro,Moonee Valley,6257.015346
2010,1 North West Metro,Moreland,6130.919934
2010,1 North West Metro,Nillumbik,2581.240651
2010,1 North West Metro,Whittlesea,6230.150155
2010,1 North West Metro,Wyndham,6202.858597
2010,1 North West Metro,Yarra,13585.36274
2010,2 Eastern,Alpine,3821.656051
2010,2 Eastern,Bass Coast,7711.881658
2010,2 Eastern,Baw Baw,5081.12217
2010,2 Eastern,Benalla,7891.313774
2010,2 Eastern,Boroondara,3799.766723
2010,2 Eastern,East Gippsland,7231.331839
2010,2 Eastern,Greater Shepparton,8985.563856
2010,2 Eastern,Indigo,3074.507752
2010,2 Eastern,Knox,5386.600105
2010,2 Eastern,Latrobe,10696.20426
2010,2 Eastern,Manningham,3187.148539
2010,2 Eastern,Mansfield,5654.383736
